contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2017	12	So	0.6875	6386	4	FK Austria Wien	Red Bull Salzburg	0	0	1.741935484	0	0	1.933333333	1.5625	1	2.322580645	32
Europa League  Europa League	2017	12	Do	0.878472222	23865	4	Olympique Marseille	Red Bull Salzburg	0	0	1.6875	0	-1	1.933333333	1.470588235	0	2.28125	33
Bundesliga  Bundesliga	2017	12	So	0.6875	2187	3	Wolfsberger AC	Red Bull Salzburg	0	-0.5	1.636363636	-2	-1	1.933333333	1.388888889	0	2.242424242	34
Bundesliga  Bundesliga	2017	12	Sa	0.666666667	5642	6	Red Bull Salzburg	LASK	0	1.911764706	-1	1.933333333	1.315789474	-2	0	2.205882353	0.5	35
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	4095	49	Red Bull Salzburg	FC Admira Wacker Mödling	1	1.857142857	-2	1.8125	1.315789474	0	-4	2.171428571	0.5	36
Bundesliga  Bundesliga	2018	02	Sa	0.666666667	3803	7	SC Rheindorf Altach	Red Bull Salzburg	-1	-0.5	1.527777778	-1	-2	1.764705882	1.315789474	0	2.194444444	37
Europa League  Europa League	2018	02	Do	0.791666667	19790	5	Real Sociedad San Sebastián	Red Bull Salzburg	0	0	1.513513514	0	0	1.764705882	1.3	0	2.216216216	38
Bundesliga  Bundesliga	2018	02	So	0.6875	4273	3	Red Bull Salzburg	SKN St. Pölten	4	1.815789474	-3	1.764705882	1.238095238	-2	-4	2.184210526	0	39
Europa League  Europa League	2018	02	Do	0.878472222	13912	4	Red Bull Salzburg	Real Sociedad San Sebastián	1	1.871794872	0	1.888888889	1.238095238	0	0	2.205128205	1	40
Bundesliga  Bundesliga	2018	02	So	0.6875	7157	3	SK Sturm Graz	Red Bull Salzburg	-2	0.5	1.525	1	-5	1.842105263	1.238095238	1.5	2.225	41
ÖFB-Cup  ÖFB-Cup	2018	02	Mi	0.8125	1535	3	Red Bull Salzburg	SK Austria Klagenfurt	7	1.902439024	0	1.842105263	1.272727273	0	0	2.243902439	0	42
Bundesliga  Bundesliga	2018	03	So	0.6875	11981	4	Red Bull Salzburg	SK Rapid Wien	1	2.023809524	-0.5	2.1	1.272727273	-1	0	2.261904762	0.5	43
Europa League  Europa League	2018	03	Do	0.791666667	53700	4	Borussia Dortmund	Red Bull Salzburg	-1	0	1.651162791	0	0	2.047619048	1.272727273	0	2.279069767	44
Bundesliga  Bundesliga	2018	03	So	0.6875	4176	3	SV Mattersburg	Red Bull Salzburg	0	-0.5	1.636363636	-1	-2	2.047619048	1.260869565	0	2.295454545	45
Europa League  Europa League	2018	03	Do	0.878472222	29320	4	Red Bull Salzburg	Borussia Dortmund	0	2	-1	2.047619048	1.208333333	-1	0	2.266666667	0	46
Bundesliga  Bundesliga	2018	03	So	0.604166667	7026	3	Red Bull Salzburg	FK Austria Wien	5	1.956521739	0	1.954545455	1.208333333	0	0	2.239130435	1	47
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	5028	13	Red Bull Salzburg	Wolfsberger AC	2	2.021276596	-1	2.086956522	1.208333333	-1	-1	2.255319149	0.333333333	48
Europa League  Europa League	2018	04	Do	0.878472222	42538	5	Lazio Rom	Red Bull Salzburg	2	0	1.645833333	0	0	2.083333333	1.208333333	0	2.270833333	49
Bundesliga  Bundesliga	2018	04	So	0.625	5462	3	LASK	Red Bull Salzburg	1	-0.333333333	1.571428571	-2	0	2.083333333	1.08	0.666666667	2.224489796	50
Europa League  Europa League	2018	04	Do	0.878472222	29520	4	Red Bull Salzburg	Lazio Rom	3	1.98	2	2.083333333	1	2	0	2.18	3	51
Bundesliga  Bundesliga	2018	04	So	0.791666667	2800	3	FC Admira Wacker Mödling	Red Bull Salzburg	-4	0.666666667	1.549019608	0	-2.5	2.12	1	0.333333333	2.196078431	52
ÖFB-Cup  ÖFB-Cup	2018	04	Mi	0.75	4800	3	SV Mattersburg	Red Bull Salzburg	0	-0.333333333	1.596153846	-0.5	-2	2.12	1.111111111	0.333333333	2.211538462	53
Bundesliga  Bundesliga	2018	04	So	0.604166667	6148	4	Red Bull Salzburg	SC Rheindorf Altach	2	2.037735849	-1.333333333	2.12	1.071428571	-1	-2	2.188679245	0	54
Europa League  Europa League	2018	04	Do	0.878472222	63370	4	Olympique Marseille	Red Bull Salzburg	2	0	1.574074074	0	-1	2.115384615	1.071428571	0.5	2.203703704	55
