,date,time,home_team_name,guest_team_name,competition,saison,gameday,home_coach,guest_coach,home_goals,guest_goals
953,2011-04-30,16:00,FC Wacker Innsbruck,SV Kapfenberg,Bundesliga,2010/11,31,Walter Kogler,Werner Gregoritsch,1,1
954,2011-04-30,17:00,SV Austria Salzburg,WSG Wattens,Regionalliga West,2010/11,24,?,Roland Kirchler,0,0
955,2011-04-30,18:30,SC Wiener Neustadt,FK Austria Wien,Bundesliga,2010/11,31,Peter Schöttel,Karl Daxbacher,4,2
956,2011-04-30,18:30,SK Sturm Graz,SV Mattersburg,Bundesliga,2010/11,31,Franco Foda,Franz Lederer,4,0
957,2011-04-30,18:30,LASK,SV Ried,Bundesliga,2010/11,31,Walter Schachner,Paul Gludovatz,1,1
958,2011-05-01,16:00,SK Rapid Wien,Red Bull Salzburg,Bundesliga,2010/11,31,Zoran Barisic,Ricardo Moniz,1,2
959,2011-05-03,18:30,SV Kapfenberg,SC Austria Lustenau,ÖFB-Cup,2010/11,Halbfinale,Werner Gregoritsch,?,1,2
960,2011-05-03,18:30,SV Kapfenberg,SC Austria Lustenau,ÖFB-Cup,2010/11,Halbfinale,?,Edmund Stöhr,1,2
961,2011-05-04,18:15,SV Ried,SK Rapid Wien,ÖFB-Cup,2010/11,Halbfinale,Paul Gludovatz,Zoran Barisic,2,1
962,2011-05-04,19:00,FC Kufstein,WSG Wattens,Regionalliga West,2010/11,30,?,Roland Kirchler,2,1
963,2011-05-06,18:30,First Vienna FC,SC Rheindorf Altach,2. Liga,2010/11,32,Alfred Tatar,Adi Hütter,1,1
964,2011-05-06,18:30,SC Austria Lustenau,SKN St. Pölten,2. Liga,2010/11,32,Edmund Stöhr,Martin Scherb,0,3
965,2011-05-06,18:30,FC Admira Wacker Mödling,FC Gratkorn,2. Liga,2010/11,32,Dietmar Kühbauer,Paul Steiner,7,3
966,2011-05-06,18:30,SV Grödig,WAC - St. Andrä,2. Liga,2010/11,32,Heimo Pfeifenberger,Nenad Bjelica,2,1
967,2011-05-06,19:30,ASK Baumgarten,SC/ESV Parndorf,Regionalliga Ost,2010/11,26,?,Simon Knöbl,0,8
968,2011-05-06,20:30,TSV Hartberg,FC Lustenau,2. Liga,2010/11,32,Bruno Friesenbichler,Hans Kogler,1,1
969,2011-05-07,16:00,FK Austria Wien,LASK,Bundesliga,2010/11,32,Karl Daxbacher,Walter Schachner,5,0
970,2011-05-07,16:00,LASK Linz II,FC Blau Weiß Linz,Regionalliga Mitte,2010/11,25,?,Adam Kensy,0,0
971,2011-05-07,17:00,WSG Wattens,FC Hard,Regionalliga West,2010/11,25,Roland Kirchler,?,2,1
972,2011-05-07,18:30,Red Bull Salzburg,SC Wiener Neustadt,Bundesliga,2010/11,32,Ricardo Moniz,Peter Schöttel,4,0
973,2011-05-07,18:30,SV Mattersburg,FC Wacker Innsbruck,Bundesliga,2010/11,32,Franz Lederer,Walter Kogler,2,1
974,2011-05-07,18:30,SV Kapfenberg,SK Rapid Wien,Bundesliga,2010/11,32,Werner Gregoritsch,Zoran Barisic,1,1
975,2011-05-08,16:00,SV Ried,SK Sturm Graz,Bundesliga,2010/11,32,Paul Gludovatz,Franco Foda,0,0
976,2011-05-10,20:30,Red Bull Salzburg,SV Kapfenberg,Bundesliga,2010/11,33,Ricardo Moniz,Werner Gregoritsch,4,2
977,2011-05-11,20:30,FC Wacker Innsbruck,SV Ried,Bundesliga,2010/11,33,Walter Kogler,Paul Gludovatz,1,1
978,2011-05-11,20:30,SK Rapid Wien,SV Mattersburg,Bundesliga,2010/11,33,Zoran Barisic,Franz Lederer,0,0
979,2011-05-11,20:30,SC Wiener Neustadt,LASK,Bundesliga,2010/11,33,Peter Schöttel,Walter Schachner,0,0
980,2011-05-11,20:30,SK Sturm Graz,FK Austria Wien,Bundesliga,2010/11,33,Franco Foda,Karl Daxbacher,1,1
981,2011-05-13,18:30,TSV Hartberg,FC Admira Wacker Mödling,2. Liga,2010/11,33,Bruno Friesenbichler,Dietmar Kühbauer,1,2
982,2011-05-13,18:30,SKN St. Pölten,First Vienna FC,2. Liga,2010/11,33,Martin Scherb,Alfred Tatar,1,1
983,2011-05-13,18:30,FC Lustenau,WAC - St. Andrä,2. Liga,2010/11,33,Hans Kogler,Nenad Bjelica,0,0
984,2011-05-13,18:30,FC Gratkorn,SC Austria Lustenau,2. Liga,2010/11,33,Paul Steiner,Edmund Stöhr,2,1
985,2011-05-13,19:00,FC Blau Weiß Linz,FC Pasching,Regionalliga Mitte,2010/11,26,Gerald Perzy,?,6,1
986,2011-05-13,19:30,FC Waidhofen/Ybbs,SC/ESV Parndorf,Regionalliga Ost,2010/11,27,?,Simon Knöbl,4,3
987,2011-05-13,20:30,SC Rheindorf Altach,SV Grödig,2. Liga,2010/11,33,Adi Hütter,Heimo Pfeifenberger,3,0
988,2011-05-14,16:00,SV Kapfenberg,SC Wiener Neustadt,Bundesliga,2010/11,34,Werner Gregoritsch,Peter Schöttel,0,1
989,2011-05-14,18:30,FK Austria Wien,FC Wacker Innsbruck,Bundesliga,2010/11,34,Karl Daxbacher,Walter Kogler,1,0
990,2011-05-14,18:30,Union Innsbruck,WSG Wattens,Regionalliga West,2010/11,26,?,Roland Kirchler,2,3
991,2011-05-14,18:30,LASK,SK Sturm Graz,Bundesliga,2010/11,34,Walter Schachner,Franco Foda,0,2
992,2011-05-14,18:30,SV Ried,SK Rapid Wien,Bundesliga,2010/11,34,Paul Gludovatz,Zoran Barisic,2,1
993,2011-05-15,16:00,SV Mattersburg,Red Bull Salzburg,Bundesliga,2010/11,34,Franz Lederer,Ricardo Moniz,0,1
994,2011-05-16,18:30,First Vienna FC,FC Gratkorn,2. Liga,2010/11,34,Alfred Tatar,Paul Steiner,3,1
995,2011-05-17,18:30,SV Grödig,SKN St. Pölten,2. Liga,2010/11,34,Heimo Pfeifenberger,Martin Scherb,2,2
996,2011-05-17,18:30,FC Admira Wacker Mödling,FC Lustenau,2. Liga,2010/11,34,Dietmar Kühbauer,Hans Kogler,3,0
997,2011-05-17,18:30,WAC - St. Andrä,SC Rheindorf Altach,2. Liga,2010/11,34,Nenad Bjelica,Adi Hütter,0,0
998,2011-05-17,18:30,SC Austria Lustenau,TSV Hartberg,2. Liga,2010/11,34,Edmund Stöhr,Bruno Friesenbichler,2,2
999,2011-05-17,19:00,SK Sturm Graz II,FC Blau Weiß Linz,Regionalliga Mitte,2010/11,27,?,Gerald Perzy,0,3
1000,2011-05-20,19:00,WSG Wattens,SV Seekirchen,Regionalliga West,2010/11,27,Roland Kirchler,?,3,0
1001,2011-05-20,19:00,SC/ESV Parndorf,SC Ritzing,Regionalliga Ost,2010/11,28,Simon Knöbl,?,5,0
1002,2011-05-20,19:00,FC Blau Weiß Linz,SC Weiz,Regionalliga Mitte,2010/11,28,Gerald Perzy,?,2,1
1003,2011-05-20,20:30,FC Admira Wacker Mödling,SC Austria Lustenau,2. Liga,2010/11,35,Dietmar Kühbauer,Edmund Stöhr,5,3
1004,2011-05-20,20:30,FC Lustenau,SC Rheindorf Altach,2. Liga,2010/11,35,Hans Kogler,Adi Hütter,2,4
1005,2011-05-20,20:30,FC Gratkorn,SV Grödig,2. Liga,2010/11,35,Paul Steiner,Heimo Pfeifenberger,1,3
1006,2011-05-20,20:30,TSV Hartberg,First Vienna FC,2. Liga,2010/11,35,Bruno Friesenbichler,Alfred Tatar,2,0
1007,2011-05-20,20:30,SKN St. Pölten,WAC - St. Andrä,2. Liga,2010/11,35,Martin Scherb,Nenad Bjelica,6,2
1008,2011-05-22,16:00,SC Wiener Neustadt,SK Sturm Graz,Bundesliga,2010/11,35,Peter Schöttel,Franco Foda,1,2
1009,2011-05-22,16:00,SV Kapfenberg,SV Mattersburg,Bundesliga,2010/11,35,Werner Gregoritsch,Franz Lederer,2,1
1010,2011-05-22,16:00,FC Wacker Innsbruck,LASK,Bundesliga,2010/11,35,Walter Kogler,Walter Schachner,1,0
1011,2011-05-22,16:00,SK Rapid Wien,FK Austria Wien,Bundesliga,2010/11,35,Zoran Barisic,Karl Daxbacher,0,3
1012,2011-05-22,16:00,Red Bull Salzburg,SV Ried,Bundesliga,2010/11,35,Ricardo Moniz,Paul Gludovatz,2,2
1013,2011-05-24,18:30,WAC - St. Andrä,FC Gratkorn,2. Liga,2010/11,36,Nenad Bjelica,Paul Steiner,3,0
1014,2011-05-24,18:30,SC Rheindorf Altach,SKN St. Pölten,2. Liga,2010/11,36,Adi Hütter,Martin Scherb,3,0
1015,2011-05-24,18:30,SC Austria Lustenau,FC Lustenau,2. Liga,2010/11,36,Edmund Stöhr,Hans Kogler,1,0
1016,2011-05-24,18:30,First Vienna FC,FC Admira Wacker Mödling,2. Liga,2010/11,36,Alfred Tatar,Dietmar Kühbauer,0,0
1017,2011-05-24,18:30,SV Grödig,TSV Hartberg,2. Liga,2010/11,36,Heimo Pfeifenberger,Bruno Friesenbichler,3,0
1018,2011-05-25,20:30,SV Ried,SV Kapfenberg,Bundesliga,2010/11,36,Paul Gludovatz,Werner Gregoritsch,2,0
1019,2011-05-25,20:30,FK Austria Wien,Red Bull Salzburg,Bundesliga,2010/11,36,Karl Daxbacher,Ricardo Moniz,2,4
1020,2011-05-25,20:30,LASK,SK Rapid Wien,Bundesliga,2010/11,36,Walter Schachner,Zoran Barisic,1,2
1021,2011-05-25,20:30,SV Mattersburg,SC Wiener Neustadt,Bundesliga,2010/11,36,Franz Lederer,Peter Schöttel,1,1
1022,2011-05-25,20:30,SK Sturm Graz,FC Wacker Innsbruck,Bundesliga,2010/11,36,Franco Foda,Walter Kogler,2,1
1023,2011-05-27,18:30,SV Mattersburg II,SC/ESV Parndorf,Regionalliga Ost,2010/11,29,?,Simon Knöbl,1,2
1024,2011-05-27,19:00,Union St. Florian,FC Blau Weiß Linz,Regionalliga Mitte,2010/11,29,?,Gerald Perzy,2,3
1025,2011-05-28,17:00,SC Rheindorf Altach Juniors,WSG Wattens,Regionalliga West,2010/11,28,?,Roland Kirchler,1,1
1026,2011-05-29,16:30,SV Ried,SC Austria Lustenau,ÖFB-Cup,2010/11,Finale,Paul Gludovatz,?,2,0
1027,2011-05-29,16:30,SV Ried,SC Austria Lustenau,ÖFB-Cup,2010/11,Finale,?,Edmund Stöhr,2,0
1028,2011-06-01,18:30,SC/ESV Parndorf,SC Ostbahn XI,Regionalliga Ost,2010/11,30,Simon Knöbl,?,5,0
1029,2011-06-01,19:00,FC Blau Weiß Linz,Donawitzer SV Leoben,Regionalliga Mitte,2010/11,30,Gerald Perzy,?,6,0
1030,2011-06-04,16:00,WSG Wattens,Red Bull Juniors Salzburg,Regionalliga West,2010/11,29,Roland Kirchler,?,0,3
1031,2011-06-08,19:00,FC Blau Weiß Linz,WSG Wattens,Relegation Erste Liga,2010/11,Relegation Hinspiele,Gerald Perzy,Roland Kirchler,0,1
1032,2011-06-09,19:00,First Vienna FC,SC/ESV Parndorf,Relegation Erste Liga,2010/11,Relegation Hinspiele,Alfred Tatar,Simon Knöbl,3,0
1033,2011-06-11,18:00,SC/ESV Parndorf,First Vienna FC,Relegation Erste Liga,2010/11,Relegation Rückspiele,Simon Knöbl,Alfred Tatar,1,2
1034,2011-06-11,18:00,WSG Wattens,FC Blau Weiß Linz,Relegation Erste Liga,2010/11,Relegation Rückspiele,Roland Kirchler,Gerald Perzy,1,1
1035,2011-07-11,18:30,SC Rheindorf Altach,First Vienna FC,2. Liga,2011/12,1,Adi Hütter,Alfred Tatar,1,1
1036,2011-07-12,18:30,SKN St. Pölten,WAC - St. Andrä,2. Liga,2011/12,1,Martin Scherb,Nenad Bjelica,0,2
1037,2011-07-12,18:30,FC Lustenau,LASK,2. Liga,2011/12,1,Hans Kogler,Walter Schachner,1,1
1038,2011-07-12,18:30,SV Grödig,SC Austria Lustenau,2. Liga,2011/12,1,Heimo Pfeifenberger,Helgi Kolvidsson,1,2
1039,2011-07-12,18:30,FC Blau Weiß Linz,TSV Hartberg,2. Liga,2011/12,1,Thomas Weissenböck,Kurt Garger,2,1
1040,2011-07-13,20:30,SK Sturm Graz,Videoton FC,UEFA Champions League-Qualifikation,2011/12,2.Runde Hinspiele,Franco Foda,?,2,0
1041,2011-07-14,18:00,Rudar Pljevlja,FK Austria Wien,Europa League Qualifikation,2011/12,2.Runde Hinspiele,?,Karl Daxbacher,0,3
1042,2011-07-14,20:30,Liepajas Metalurgs,Red Bull Salzburg,Europa League Qualifikation,2011/12,2.Runde Hinspiele,?,Ricardo Moniz,1,4
1043,2011-07-15,18:30,First Vienna FC,FC Lustenau,2. Liga,2011/12,2,Alfred Tatar,Hans Kogler,4,2
1044,2011-07-15,18:30,SC Austria Lustenau,FC Blau Weiß Linz,2. Liga,2011/12,2,Helgi Kolvidsson,Thomas Weissenböck,1,0
1045,2011-07-15,18:30,LASK,SKN St. Pölten,2. Liga,2011/12,2,Walter Schachner,Martin Scherb,2,0
1046,2011-07-15,18:30,WAC - St. Andrä,SV Grödig,2. Liga,2011/12,2,Nenad Bjelica,Heimo Pfeifenberger,1,0
1047,2011-07-15,20:30,TSV Hartberg,SC Rheindorf Altach,2. Liga,2011/12,2,Kurt Garger,Adi Hütter,0,4
1048,2011-07-16,18:30,SV Ried,SK Sturm Graz,Bundesliga,2011/12,1,Paul Gludovatz,Franco Foda,1,1
1049,2011-07-16,18:30,SV Mattersburg,SC Wiener Neustadt,Bundesliga,2011/12,1,Franz Lederer,Peter Stöger,1,2
1050,2011-07-16,18:30,SK Rapid Wien,FC Admira Wacker Mödling,Bundesliga,2011/12,1,Peter Schöttel,Dietmar Kühbauer,2,0
1051,2011-07-16,18:30,SV Kapfenberg,FC Wacker Innsbruck,Bundesliga,2011/12,1,Werner Gregoritsch,Walter Kogler,2,3
1052,2011-07-17,16:00,Red Bull Salzburg,FK Austria Wien,Bundesliga,2011/12,1,Ricardo Moniz,Karl Daxbacher,2,0
1053,2011-07-18,18:30,FC Blau Weiß Linz,LASK,2. Liga,2011/12,3,Thomas Weissenböck,Walter Schachner,1,1
1054,2011-07-19,18:30,First Vienna FC,TSV Hartberg,2. Liga,2011/12,3,Alfred Tatar,Kurt Garger,1,0
1055,2011-07-19,18:30,FC Lustenau,WAC - St. Andrä,2. Liga,2011/12,3,Hans Kogler,Nenad Bjelica,2,5
1056,2011-07-19,18:30,SV Grödig,SKN St. Pölten,2. Liga,2011/12,3,Heimo Pfeifenberger,Martin Scherb,2,2
1057,2011-07-19,18:30,SC Rheindorf Altach,SC Austria Lustenau,2. Liga,2011/12,3,Adi Hütter,Helgi Kolvidsson,1,1
1058,2011-07-20,20:30,Videoton FC,SK Sturm Graz,UEFA Champions League-Qualifikation,2011/12,2.Runde Rückspiele,?,Franco Foda,3,2
1059,2011-07-21,19:00,Red Bull Salzburg,Liepajas Metalurgs,Europa League Qualifikation,2011/12,2.Runde Rückspiele,Ricardo Moniz,?,0,0
1060,2011-07-21,21:05,FK Austria Wien,Rudar Pljevlja,Europa League Qualifikation,2011/12,2.Runde Rückspiele,Karl Daxbacher,?,2,0
1061,2011-07-22,18:30,SKN St. Pölten,FC Lustenau,2. Liga,2011/12,4,Martin Scherb,Hans Kogler,3,0
1062,2011-07-22,18:30,WAC - St. Andrä,FC Blau Weiß Linz,2. Liga,2011/12,4,Nenad Bjelica,Thomas Weissenböck,3,2
1063,2011-07-22,18:30,TSV Hartberg,SV Grödig,2. Liga,2011/12,4,Kurt Garger,Heimo Pfeifenberger,2,4
1064,2011-07-22,18:30,SC Austria Lustenau,First Vienna FC,2. Liga,2011/12,4,Helgi Kolvidsson,Alfred Tatar,2,1
1065,2011-07-22,20:30,LASK,SC Rheindorf Altach,2. Liga,2011/12,4,Walter Schachner,Adi Hütter,0,2
1066,2011-07-23,18:30,SK Sturm Graz,SV Mattersburg,Bundesliga,2011/12,2,Franco Foda,Franz Lederer,2,2
1067,2011-07-23,18:30,FC Admira Wacker Mödling,SV Kapfenberg,Bundesliga,2011/12,2,Dietmar Kühbauer,Werner Gregoritsch,1,1
1068,2011-07-23,18:30,SC Wiener Neustadt,SK Rapid Wien,Bundesliga,2011/12,2,Peter Stöger,Peter Schöttel,0,2
1069,2011-07-24,16:00,FC Wacker Innsbruck,Red Bull Salzburg,Bundesliga,2011/12,2,Walter Kogler,Ricardo Moniz,0,1
1070,2011-07-24,18:30,FK Austria Wien,SV Ried,Bundesliga,2011/12,2,Karl Daxbacher,Paul Gludovatz,2,1
1071,2011-07-26,18:00,FC Zestafoni,SK Sturm Graz,UEFA Champions League-Qualifikation,2011/12,3.Runde Hinspiele,?,Franco Foda,1,1
1072,2011-07-28,19:00,NK Olimpija Ljubljana,FK Austria Wien,Europa League Qualifikation,2011/12,3.Runde Hinspiele,?,Karl Daxbacher,1,1
1073,2011-07-28,19:00,Red Bull Salzburg,FK Senica,Europa League Qualifikation,2011/12,3.Runde Hinspiele,Ricardo Moniz,?,1,0
1074,2011-07-28,21:05,SV Ried,Bröndby IF,Europa League Qualifikation,2011/12,3.Runde Hinspiele,Paul Gludovatz,?,2,0
1075,2011-07-29,18:30,TSV Hartberg,SC Austria Lustenau,2. Liga,2011/12,5,Kurt Garger,Helgi Kolvidsson,2,3
1076,2011-07-29,18:30,SC Rheindorf Altach,WAC - St. Andrä,2. Liga,2011/12,5,Adi Hütter,Nenad Bjelica,1,2
1077,2011-07-29,18:30,FC Blau Weiß Linz,SKN St. Pölten,2. Liga,2011/12,5,Thomas Weissenböck,Martin Scherb,1,2
1078,2011-07-29,18:30,FC Lustenau,SV Grödig,2. Liga,2011/12,5,Hans Kogler,Heimo Pfeifenberger,1,3
1079,2011-07-29,19:00,WSG Wattens,Red Bull Juniors Salzburg,Regionalliga West,2011/12,1,Roland Kirchler,?,3,1
1080,2011-07-29,20:30,First Vienna FC,LASK,2. Liga,2011/12,5,Alfred Tatar,Walter Schachner,0,1
1081,2011-07-30,18:30,SV Kapfenberg,SK Sturm Graz,Bundesliga,2011/12,3,Werner Gregoritsch,Franco Foda,3,0
1082,2011-07-30,18:30,FC Admira Wacker Mödling,SC Wiener Neustadt,Bundesliga,2011/12,3,Dietmar Kühbauer,Peter Stöger,3,0
1083,2011-07-31,16:00,Red Bull Salzburg,SV Mattersburg,Bundesliga,2011/12,3,Ricardo Moniz,Franz Lederer,0,0
1084,2011-07-31,16:00,FC Wacker Innsbruck,FK Austria Wien,Bundesliga,2011/12,3,Walter Kogler,Karl Daxbacher,0,0
1085,2011-07-31,18:30,SK Rapid Wien,SV Ried,Bundesliga,2011/12,3,Peter Schöttel,Paul Gludovatz,0,0
1086,2011-08-01,18:30,WAC - St. Andrä,SC Austria Lustenau,2. Liga,2011/12,6,Nenad Bjelica,Helgi Kolvidsson,3,3
1087,2011-08-02,18:30,SV Grödig,First Vienna FC,2. Liga,2011/12,6,Heimo Pfeifenberger,Alfred Tatar,4,0
1088,2011-08-02,18:30,LASK,TSV Hartberg,2. Liga,2011/12,6,Walter Schachner,Kurt Garger,4,0
1089,2011-08-02,18:30,SKN St. Pölten,SC Rheindorf Altach,2. Liga,2011/12,6,Martin Scherb,Adi Hütter,1,2
1090,2011-08-02,18:30,FC Lustenau,FC Blau Weiß Linz,2. Liga,2011/12,6,Hans Kogler,Thomas Weissenböck,1,0
1091,2011-08-02,20:00,SK Vorwärts Steyr,Grazer AK,Regionalliga Mitte,2011/12,1,?,Ales Ceh,0,5
1092,2011-08-03,19:00,SV Hall,WSG Wattens,Regionalliga West,2011/12,2,?,Roland Kirchler,1,5
1093,2011-08-03,20:30,SK Sturm Graz,FC Zestafoni,UEFA Champions League-Qualifikation,2011/12,3.Runde Rückspiele,Franco Foda,?,1,0
1094,2011-08-04,19:00,FK Senica,Red Bull Salzburg,Europa League Qualifikation,2011/12,3.Runde Rückspiele,?,Ricardo Moniz,0,3
1095,2011-08-04,19:00,Bröndby IF,SV Ried,Europa League Qualifikation,2011/12,3.Runde Rückspiele,?,Paul Gludovatz,4,2
1096,2011-08-04,21:05,FK Austria Wien,NK Olimpija Ljubljana,Europa League Qualifikation,2011/12,3.Runde Rückspiele,Karl Daxbacher,?,3,2
1097,2011-08-05,18:00,SK Rapid Wien II,SC Wiener Neustadt,ÖFB-Cup,2011/12,1.Runde,?,Peter Stöger,1,0
1098,2011-08-05,18:00,FK Austria Wien Amateure,First Vienna FC,ÖFB-Cup,2011/12,1.Runde,?,Alfred Tatar,4,0
1099,2011-08-05,19:00,ATSV Wolfsberg,WAC - St. Andrä,ÖFB-Cup,2011/12,1.Runde,?,Nenad Bjelica,1,2
1100,2011-08-05,19:00,SK Sturm Graz II,LASK,ÖFB-Cup,2011/12,1.Runde,?,Walter Schachner,2,5
1101,2011-08-05,19:00,ASC Götzendorf,SKN St. Pölten,ÖFB-Cup,2011/12,1.Runde,?,Martin Scherb,3,2
1102,2011-08-05,19:00,SC Kundl,TSV Hartberg,ÖFB-Cup,2011/12,1.Runde,?,Kurt Garger,0,3
1103,2011-08-05,19:00,Donawitzer SV Leoben,FC Lustenau,ÖFB-Cup,2011/12,1.Runde,?,Hans Kogler,2,3
1104,2011-08-05,19:00,ASKÖ Donau Linz,SV Grödig,ÖFB-Cup,2011/12,1.Runde,?,Heimo Pfeifenberger,0,3
1105,2011-08-05,19:00,Post SV Wien,SV Kapfenberg,ÖFB-Cup,2011/12,1.Runde,?,Werner Gregoritsch,0,3
1106,2011-08-06,16:00,WSG Wattens,SV St. Margarethen,ÖFB-Cup,2011/12,1.Runde,Roland Kirchler,?,1,1
1107,2011-08-06,17:00,Hellas Kagran,FC Wacker Innsbruck,ÖFB-Cup,2011/12,1.Runde,?,Walter Kogler,0,4
1108,2011-08-06,17:30,SC Bregenz,SC Austria Lustenau,ÖFB-Cup,2011/12,1.Runde,?,Helgi Kolvidsson,0,2
1109,2011-08-06,18:00,SV Grödig II,SK Sturm Graz,ÖFB-Cup,2011/12,1.Runde,?,Franco Foda,0,4
1110,2011-08-06,18:00,Union St. Florian,SC Rheindorf Altach,ÖFB-Cup,2011/12,1.Runde,?,Adi Hütter,2,0
1111,2011-08-06,18:00,SK Vorwärts Steyr,FC Admira Wacker Mödling,ÖFB-Cup,2011/12,1.Runde,?,Dietmar Kühbauer,1,6
1112,2011-08-06,18:00,SV Kapfenberg II,SV Mattersburg,ÖFB-Cup,2011/12,1.Runde,?,Franz Lederer,1,3
1113,2011-08-06,19:00,ASKÖ Stinatz,FC Blau Weiß Linz,ÖFB-Cup,2011/12,1.Runde,?,Thomas Weissenböck,1,3
1114,2011-08-06,19:00,LASK Linz II,SK Rapid Wien,ÖFB-Cup,2011/12,1.Runde,?,Peter Schöttel,0,7
1115,2011-08-07,17:00,ASK Baumgarten,Red Bull Salzburg,ÖFB-Cup,2011/12,1.Runde,?,Ricardo Moniz,0,3
1116,2011-08-07,18:00,FC Admira Wacker Mödling II,FK Austria Wien,ÖFB-Cup,2011/12,1.Runde,?,Karl Daxbacher,1,3
1117,2011-08-07,18:00,FC Gratkorn,SV Ried,ÖFB-Cup,2011/12,1.Runde,?,Paul Gludovatz,0,3
1118,2011-08-09,19:30,SV Stegersbach,SV Horn,Regionalliga Ost,2011/12,1,?,Michael Streiter,2,2
1119,2011-08-12,18:30,First Vienna FC,SKN St. Pölten,2. Liga,2011/12,7,Alfred Tatar,Martin Scherb,3,1
1120,2011-08-12,18:30,SC Rheindorf Altach,FC Lustenau,2. Liga,2011/12,7,Adi Hütter,Hans Kogler,4,1
1121,2011-08-12,18:30,TSV Hartberg,WAC - St. Andrä,2. Liga,2011/12,7,Kurt Garger,Nenad Bjelica,4,3
1122,2011-08-12,18:30,FC Blau Weiß Linz,SV Grödig,2. Liga,2011/12,7,Thomas Weissenböck,Heimo Pfeifenberger,3,0
1123,2011-08-12,19:00,WSG Wattens,Union Innsbruck,Regionalliga West,2011/12,3,Roland Kirchler,?,4,1
1124,2011-08-12,19:30,SV Horn,SV Mattersburg II,Regionalliga Ost,2011/12,2,Michael Streiter,?,5,1
1125,2011-08-12,20:30,SC Austria Lustenau,LASK,2. Liga,2011/12,7,Helgi Kolvidsson,Walter Schachner,1,1
1126,2011-08-13,18:30,SC Wiener Neustadt,FC Wacker Innsbruck,Bundesliga,2011/12,4,Peter Stöger,Walter Kogler,0,0
1127,2011-08-13,18:30,FK Austria Wien,SV Kapfenberg,Bundesliga,2011/12,4,Karl Daxbacher,Werner Gregoritsch,5,0
1128,2011-08-13,18:30,FC Admira Wacker Mödling,SV Mattersburg,Bundesliga,2011/12,4,Dietmar Kühbauer,Franz Lederer,2,1
1129,2011-08-13,18:30,SK Sturm Graz,SK Rapid Wien,Bundesliga,2011/12,4,Franco Foda,Peter Schöttel,1,0
1130,2011-08-14,16:00,SV Ried,Red Bull Salzburg,Bundesliga,2011/12,4,Paul Gludovatz,Ricardo Moniz,1,3
1131,2011-08-14,17:00,SK Sturm Graz II,Grazer AK,Regionalliga Mitte,2011/12,2,?,Ales Ceh,0,3
1132,2011-08-15,17:00,TSV St. Johann,WSG Wattens,Regionalliga West,2011/12,4,?,Roland Kirchler,0,0
1133,2011-08-16,20:45,BATE Borisov,SK Sturm Graz,UEFA Champions League-Qualifikation,2011/12,Qualifikationsrunde - Hinspiele,?,Franco Foda,1,1
1134,2011-08-18,19:00,FK Austria Wien,Gaz Metan Medias,Europa League,2011/12,Qualifikationsrunde - Hinspiele,Karl Daxbacher,?,3,1
1135,2011-08-18,19:00,Omonia Nikosia,Red Bull Salzburg,Europa League,2011/12,Qualifikationsrunde - Hinspiele,?,Ricardo Moniz,2,1
1136,2011-08-18,21:05,SV Ried,PSV Eindhoven,Europa League,2011/12,Qualifikationsrunde - Hinspiele,Paul Gludovatz,?,0,0
1137,2011-08-19,18:30,SKN St. Pölten,TSV Hartberg,2. Liga,2011/12,8,Martin Scherb,Kurt Garger,1,0
1138,2011-08-19,18:30,SV Grödig,LASK,2. Liga,2011/12,8,Heimo Pfeifenberger,Walter Schachner,0,3
1139,2011-08-19,18:30,WAC - St. Andrä,First Vienna FC,2. Liga,2011/12,8,Nenad Bjelica,Alfred Tatar,2,2
1140,2011-08-19,18:30,FC Blau Weiß Linz,SC Rheindorf Altach,2. Liga,2011/12,8,Thomas Weissenböck,Adi Hütter,2,0
1141,2011-08-19,19:00,WSG Wattens,SV Seekirchen,Regionalliga West,2011/12,5,Roland Kirchler,?,3,1
1142,2011-08-19,19:00,Grazer AK,SK Austria Klagenfurt,Regionalliga Mitte,2011/12,3,Ales Ceh,?,0,0
1143,2011-08-19,20:30,FC Lustenau,SC Austria Lustenau,2. Liga,2011/12,8,Hans Kogler,Helgi Kolvidsson,3,1
1144,2011-08-20,18:00,1. Simmeringer SC,SV Horn,Regionalliga Ost,2011/12,3,?,Michael Streiter,2,2
1145,2011-08-20,18:30,SV Kapfenberg,SC Wiener Neustadt,Bundesliga,2011/12,5,Werner Gregoritsch,Peter Stöger,0,2
1146,2011-08-20,18:30,FC Wacker Innsbruck,FC Admira Wacker Mödling,Bundesliga,2011/12,5,Walter Kogler,Dietmar Kühbauer,2,2
1147,2011-08-21,16:00,SV Mattersburg,SV Ried,Bundesliga,2011/12,5,Franz Lederer,Paul Gludovatz,2,3
1148,2011-08-21,16:00,SK Rapid Wien,FK Austria Wien,Bundesliga,2011/12,5,Peter Schöttel,Karl Daxbacher,0,3
1149,2011-08-21,18:30,Red Bull Salzburg,SK Sturm Graz,Bundesliga,2011/12,5,Ricardo Moniz,Franco Foda,1,1
1150,2011-08-22,18:30,LASK,WAC - St. Andrä,2. Liga,2011/12,9,Walter Schachner,Nenad Bjelica,2,3
1151,2011-08-23,18:30,SC Rheindorf Altach,SV Grödig,2. Liga,2011/12,9,Adi Hütter,Heimo Pfeifenberger,1,2
